rule_id,source_section,cond_origin,cond_destination,cond_train_class,cond_time_of_day,cond_other,preferred_route_id,preferred_platform,preferred_platforms,non_preferred_alternatives,confidence,user_approved,kind,match_json,pref_json,notes
S5-TD5045-platform4,§5,East/Spondon (TD5045),platform_4,,,preferred via 306(TDPA)+311(TNGK); non-pref via 303rev(TFPB)+307(TFMW) when 311 locked. 4x verified.,RTD5045B-1(M),,,"[""RTD5045B-2(M)""]",high,True,route_choice,"{""focal_signal_in"": [""TD5045""], ""target_platform"": 4}","{""preferred_route_id"": ""RTD5045B-1(M)"", ""non_preferred_route_ids"": [""RTD5045B-2(M)""], ""preferred_platforms"": null}",preferred via 306(TDPA)+311(TNGK); non-pref via 303rev(TFPB)+307(TFMW) when 311 locked. 4x verified.
S5-TD5049-platform3or4only,§5,RTC North sidings (TD5049),platform_3_or_4,,,TD5049 -> platform 3 or 4 ONLY (cannot signal into platform 5). para426/434.,,,"[3, 4]",[],high,True,platform_set,"{""focal_signal_in"": [""TD5049""]}","{""preferred_route_id"": null, ""non_preferred_route_ids"": [], ""preferred_platforms"": [3, 4]}",TD5049 -> platform 3 or 4 ONLY (cannot signal into platform 5). para426/434.
S5-platform1-north-aline,§5,platform_1 (DC5061 north),North,,,"platform 1 northbound = A line/down fast, the ONLY route (informational; one option). para478.",,,,[],high,True,policy_fact,"{""focal_signal_in"": [""DC5061""]}","{""preferred_route_id"": null, ""non_preferred_route_ids"": [], ""preferred_platforms"": null}","platform 1 northbound = A line/down fast, the ONLY route (informational; one option). para478."
S9-rtcnorth-platform3or4,§9,North,RTC North sidings,,,"Access to RTC North by trains from the North via platform 3 or 4. para749. (Shares anchor TD5049 with C8 -- both constrain to {3,4}.)",,,"[3, 4]",[],high,True,platform_set,"{""focal_signal_in"": [""TD5049""]}","{""preferred_route_id"": null, ""non_preferred_route_ids"": [], ""preferred_platforms"": [3, 4]}","Access to RTC North by trains from the North via platform 3 or 4. para749. (Shares anchor TD5049 with C8 -- both constrain to {3,4}.)"
S9-rtcsouth-access,§9,any,RTC South sidings (TD5043),,,Access to RTC South via pilot line/platform 6/5/3/4. para751. Anchor=exit signal TD5043 (Hao's TC 'TDWV' had 0 route hits -> dropped). pilot-line acceptance handled separately.,,,"[3, 4, 5, 6]",[],high,True,platform_set,"{""focal_signal_in"": [""TD5043""]}","{""preferred_route_id"": null, ""non_preferred_route_ids"": [], ""preferred_platforms"": [3, 4, 5, 6]}",Access to RTC South via pilot line/platform 6/5/3/4. para751. Anchor=exit signal TD5043 (Hao's TC 'TDWV' had 0 route hits -> dropped). pilot-line acceptance handled separately.
S9-platform5-depart-301,§9,platform_5 (DC5065),,,,platform 5 departure runs along down main reverse to 301pts (valid but slower). para753.,,,,[],high,True,policy_fact,"{""focal_signal_in"": [""DC5065""]}","{""preferred_route_id"": null, ""non_preferred_route_ids"": [], ""preferred_platforms"": null}",platform 5 departure runs along down main reverse to 301pts (valid but slower). para753.
S6-platform6-callon-north,§6,North (DC5076),platform_6,,,call-on into occupied platform 6 from DC5076 (stop+advise driver); except EC5486/EC5488 on Chad curve. para711. Linked to f_call_on stratum.,,6.0,[6],[],high,True,platform_set,"{""focal_signal_in"": [""DC5076""], ""target_platform"": 6}","{""preferred_route_id"": null, ""non_preferred_route_ids"": [], ""preferred_platforms"": [6]}",call-on into occupied platform 6 from DC5076 (stop+advise driver); except EC5486/EC5488 on Chad curve. para711. Linked to f_call_on stratum.
S9-litchurch-platform3or4,§9,Litchurch Lane (DW5310/202pts),platform_3_or_4,,,Litchurch Lane in/out via platform 3 or 4 (gauge-cleared). para757.,,,"[3, 4]",[],high,True,platform_set,"{""focal_signal_in"": [""DW5310""]}","{""preferred_route_id"": null, ""non_preferred_route_ids"": [], ""preferred_platforms"": [3, 4]}",Litchurch Lane in/out via platform 3 or 4 (gauge-cleared). para757.
S11-sinfin-singleline,§11,any,Sinfin branch,,,single-line: one train at a time; must not approach DW5320 while another signalled toward DW5323. para779. Policy (no per-decision preferred action).,,,,[],high,True,policy_fact,"{""branch"": ""sinfin""}","{""preferred_route_id"": null, ""non_preferred_route_ids"": [], ""preferred_platforms"": null}",single-line: one train at a time; must not approach DW5320 while another signalled toward DW5323. para779. Policy (no per-decision preferred action).
S14-matlock-token,§14,any,Matlock branch,,,No-Signaller Token (TS7); token released on 912TC at Ambergate; DY572 out / DY571 set. para806-808.,,,,[],high,True,policy_fact,"{""branch"": ""matlock""}","{""preferred_route_id"": null, ""non_preferred_route_ids"": [], ""preferred_platforms"": null}",No-Signaller Token (TS7); token released on 912TC at Ambergate; DY572 out / DY571 set. para806-808.
S3-sheffieldmatlock-platform5,§3,,Sheffield/Matlock,passenger,,"'trains to Sheffield and Matlock will use platform 5 predominantly' (soft). CONFLICTS with C17 (->platform 6); both med, neither gates; if both match -> ambiguous. para364.",,5.0,[5],[],med,True,platform_set,"{""direction_in"": [""Sheffield"", ""Matlock""], ""train_class_in"": [""1"", ""2""]}","{""preferred_route_id"": null, ""non_preferred_route_ids"": [], ""preferred_platforms"": [5]}","'trains to Sheffield and Matlock will use platform 5 predominantly' (soft). CONFLICTS with C17 (->platform 6); both med, neither gates; if both match -> ambiguous. para364."
S3-west-platform2,§3,,West,passenger,,'all passenger trains to the West will use platform 2' (option 3/4). para370/379.,,2.0,[2],[],med,True,platform_set,"{""direction_in"": [""West""], ""train_class_in"": [""1"", ""2""]}","{""preferred_route_id"": null, ""non_preferred_route_ids"": [], ""preferred_platforms"": [2]}",'all passenger trains to the West will use platform 2' (option 3/4). para370/379.
S3-north-fastest-platform5,§3,,North,,,North quickest = platform 5 (3/4/pilot also; 6 slower) (soft). overlaps C15a (North passenger->platform 1); if both match -> ambiguous. para376.,,5.0,[5],[],med,True,platform_set,"{""direction_in"": [""North""]}","{""preferred_route_id"": null, ""non_preferred_route_ids"": [], ""preferred_platforms"": [5]}",North quickest = platform 5 (3/4/pilot also; 6 slower) (soft). overlaps C15a (North passenger->platform 1); if both match -> ambiguous. para376.
S3-south-optimum-platform6,§3,,South,,,South optimum = platform 6 (3/4/pilot also) (soft). para382.,,6.0,[6],[],med,True,platform_set,"{""direction_in"": [""South""]}","{""preferred_route_id"": null, ""non_preferred_route_ids"": [], ""preferred_platforms"": [6]}",South optimum = platform 6 (3/4/pilot also) (soft). para382.
